name,display_name,latitude,longitude
สโมสรนักศึกษา (SMO INTER),SMO INTER,13.730229,100.775677
อาคารเฉลิมพระเกียรติ 55 พรรษา สมเด็จพระเทพรัตนราชสุดาฯสยามบรมราชกุมารี,อาคารเฉลิมพระเกียรติ 55 พรรษา,13.729848,100.775319
ลานจอดรถหน้าเฉลิมพระเกียรติ 55 พรรษา,ลานจอดรถ,13.729671,100.775331
หอพักนักศึกษา(ปรับอากาศ),หอพัก,13.729668,100.775
อาคารปฏิบัติการรวมวิศวกรรมศาสตร์ 2 (ตึก ECC),ECC,13.729189,100.775899
Cafe de latte,coffee shop,13.7294383,100.775955
อันนา กาแฟ,coffee shop,13.7295216,100.7761833
แลบภาควิศวกรรมอัตโนมัติ (Lab Auto),Lab Auto,13.729376,100.776533
ไปรษณีย์ไทยสาขาลาดกระบัง,ไปรษณีย์,13.7294816,100.7768266
อาคารเรียนรวม สมเด็จพระเทพฯ,ตึกพระเทพฯ,13.729645,100.7768466
งานสุขภาพอนามัย,ห้องพยาบาล,13.729555,100.777435
ลานจอดรถข้างอาคารเรียนรวมสมเด็จพระเทพฯ,ลานจอดรถ,13.729885,100.7775083
อาคารกรมหลวงนราธิวาสราชนครินทร์ (สำนักงานอธิการบดี),สำนักงานอธิการบดี,13.730282,100.777751
klao-kan coffee,coffee shop,13.7304466,100.7776816
ลานพระจอมเกล้าฯ,ลานพระจอมฯ,13.7304516,100.7784483
Annie shake,coffee shop,13.72956,100.7769816
โรงอาหารตึกพระเทพฯ,ร้านอาหาร,13.729864,100.775922
ห้องปฏิบัติการวิศวกรรมไฟฟ้าแรงสูง (Lab High Volt),Lab High Volt,13.729287,100.775119
โรงอาหาร L,ร้านอาหาร,13.72874,100.775125
7-ELEVEN สาขาหอพักลาดกระบัง,7-ELEVEN,13.728561,100.774389
อาคารปฏิบัติกลางไฟฟ้า(ส่วนกลาง:ตึก L),ตึก L,13.728666,100.775572
Bamboo coffee,coffee shop,13.728636,100.775737
กนก ฟาร์มา เชน,ร้านขายยา,13.728654,100.77597
ภาควิศวกรรมไฟฟ้า (แลปภาคไฟ),แลปภาคไฟ,13.728809,100.776248
ATM SCB,ATM,13.72889,100.775962
